title,introduction,link,price,booking_date,rating_star,rating_count,country,cities,source
【獨家開賣 】台灣墾丁 | 2022 台灣祭特別企劃 | 一元即抽專屬周邊＆五星飯店住房含接駁專案＆KKday高鐵假期,墾丁春吶回歸，2022年度最大盛事 - 台灣祭即將開跑，KKday獨家提供台灣祭專屬紀念商品與高墾接駁及住宿，讓您無須操心安排行程，只要一只皮箱與熱血的心情，出發前往墾丁大灣與百組藝人在四大舞台一同發出最深沉的吶喊。Kkday特別包裝五星福華飯店，讓樂迷能好好放鬆，以 200% 的精力迎戰每一天的音樂震撼。,https://www.kkday.com/zh-tw/product/126869,1,20220311,0,0,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00016', 'name': '墾丁'}, {'id': 'A01-001-00001', 'name': '台北'}]}]","[{'id': 'A01-001-00016', 'name': '墾丁'}, {'id': 'A01-001-00001', 'name': '台北'}]",KKday
【2022澎湖花火節】早鳥68折｜澎湖秘境一日遊 | 南方四島＆藍洞＆環遊七美島＆島上獨木舟 | 自選遊覽車或機車環島,台灣澎湖秘境景點－藍洞，行程中將巡航至西吉嶼，船長將以船隻近距離靠近藍洞，但不會進入藍洞內，天氣好的話將有機會看到陽光從上傾瀉而下，映照在清澈海水，把整個洞穴染成夢幻的翠藍色，快來捕捉這難得的夢幻景觀！不管有沒有去過澎湖，藍洞絕對是你不可以錯過的景點！行程可自選島上交通工具，暢遊澎湖更加地便利！,https://www.kkday.com/zh-tw/product/2375,990,20220401,4.09,336,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00019', 'name': '澎湖'}]}]","[{'id': 'A01-001-00019', 'name': '澎湖'}]",KKday
宜蘭龜山島登島半日遊｜登島・環島・賞鯨,現在預訂宜蘭賞鯨龜山島登島半日遊，4 小時內搭船賞鯨、環島、登島！龜山島登島由專業嚮導帶領，帶你從烏石港搭船輕鬆出發，登上太平洋上的神秘仙島—龜山島，一覽龜山島八景！另可選擇每日限量名額 401 高地攻頂挑戰，帶你登上台灣離島第二高山。,https://www.kkday.com/zh-tw/product/5297,900,20220308,4.67,2678,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00017', 'name': '宜蘭'}]}]","[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
屏東恆春｜鹿境梅花鹿生態園區門票｜墾丁小奈良,來屏東的朋友們千萬別錯過，來鹿境和鹿兒們一起玩的機會，能讓旅人近距離與鹿群同樂遊走，館內還有精緻的裝置藝術提供旅客拍照紀念，沒時間去日本奈良看鹿沒關係，先來有着「墾丁小奈良」之稱的鹿境梅花鹿生態園區裡，感受被鹿群包圍的喜悅吧！,https://www.kkday.com/zh-tw/product/2125,185,20220307,4.67,515,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00015', 'name': '屏東'}]}]","[{'id': 'A01-001-00015', 'name': '屏東'}]",KKday
【限時75折】馥蘭朵烏來渡假酒店｜景觀湯屋・日式大浴場｜須自行官網線上預約,立即預訂烏來溫泉五星首選馥蘭朵渡假酒店，輕鬆享受景觀湯屋、日式裸湯大浴場！自由搭配午餐、下午茶、晚餐，沈浸烏來溫泉與享用美食療癒心靈！,https://www.kkday.com/zh-tw/product/6615,750,20220306,4.55,1348,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00001', 'name': '台北'}]}]","[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
阿朗壹古道一日健行｜含恆春、墾丁接駁,現在透過 KKday 預訂阿朗壹古道一日健行，免費提供恆春東門、墾丁大街接送，不必擔心交通問題！專業在地嚮導提供解說，帶你認識阿塱壹古道歷史及自然生態，沿途經過南田礫灘、觀音鼻、好漢坡、七里香休閒園區、軍艦岩、帆船石,https://www.kkday.com/zh-tw/product/119435,999,20220405,4.65,40,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00015', 'name': '屏東'}, {'id': 'A01-001-00018', 'name': '台東'}]}]","[{'id': 'A01-001-00015', 'name': '屏東'}, {'id': 'A01-001-00018', 'name': '台東'}]",KKday
【KKday限時75折】彰化永靖│成美文化園門票,成美文化園，為永靖地區兼具歷史人文與觀光休憩的綜合型庭園空間。園內擁有百年古厝「成美公堂」，訴說著先人唐山過台灣，篳路藍縷、開家發跡的艱辛歷史，更傳承著家族數百年來傳揚孔孟精神的文化記憶；匠心獨具的「和園」，承襲歷代名園技法，為台灣庭園工藝樹立典範。 由「成美公堂」出發，本園推動地方人文發展、策畫全國性之文化特展、舉辦傳統民俗活動、宣揚飲水思源及孝親精神，與在地居民共享共榮。如此高、大、深、遠之擘劃，旨在造福鄉里、行銷永靖，使「成美文化園」成為地方文化教育與休閒之重要指標，並串聯起永靖周遭區域，重新賦予永靖嶄新形象，期待由一傳統小農村，成為台灣人文景緻的新亮點,https://www.kkday.com/zh-tw/product/119292,280,20220306,4.69,143,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00011', 'name': '彰化'}]}]","[{'id': 'A01-001-00011', 'name': '彰化'}]",KKday
北投溫泉｜北投春天酒店｜湯屋・大眾池（現場候位）,立即透過 KKday 購買北投春天酒店泡湯券，輕鬆享受被譽為「帝王泉」的高純度白礦泉質溫泉及精緻的美食，讓你疲勞的身心靈好好得到徹底的放鬆。,https://www.kkday.com/zh-tw/product/19029,499,20220306,4.49,1315,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00001', 'name': '台北'}]}]","[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
【2022澎湖花火節】澎湖秘境跳島一日遊｜忘憂島浮潛＆無人島探險＆頭巾嶼＆南方四島,現在預約澎湖忘憂島一日遊，帶您前往全台唯一國家海洋公園浮潛、水上活動，欣賞七彩珊瑚礁群！專業中文導覽，帶你從澎湖出發，踏上澎湖無人島探險特殊潮池景觀與離島網美秘境！,https://www.kkday.com/zh-tw/product/2460,3800,20220401,4.91,304,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00019', 'name': '澎湖'}]}]","[{'id': 'A01-001-00019', 'name': '澎湖'}]",KKday
【2022澎湖花火節】限時76折｜台灣澎湖｜海洋牧場・鮮蚵炭烤｜澎湖海上牧場垂釣樂（海鮮粥吃到飽）,立即預約澎湖在地深度旅遊海洋牧場垂釣樂、炭烤鮮蚵吃到飽！前往澎湖海上牧場享受釣魚的刺激與樂趣，體驗討海人生並品嚐最新鮮的牡蠣、海鮮粥的美味！,https://www.kkday.com/zh-tw/product/2332,459,20220401,4.16,798,"[{'id': 'A01-001', 'name': '台灣', 'cities': [{'id': 'A01-001-00019', 'name': '澎湖'}]}]","[{'id': 'A01-001-00019', 'name': '澎湖'}]",KKday
