title,link,price,booking_date,star,cities,source
桃園青埔｜Xpark 都會型水生公園門票,https://www.kkday.com/zh-tw/product/101517,550,20220306,4.37,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
2022櫻花祭優惠78折起｜南投九族文化村門票｜贈日月潭纜車票,https://www.kkday.com/zh-tw/product/18440,750,20220307,4.8,"[{'id': 'A01-001-00012', 'name': '南投'}]",KKday
【獨家優惠83折】台南學甲｜頑皮世界野生動物園｜獨家長頸鹿手繪門票,https://www.kkday.com/zh-tw/product/100025,400,20220306,4.7,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
【獨家開賣 】台灣墾丁 | 2022 台灣祭特別企劃 | 一元即抽專屬周邊＆五星飯店住房含接駁專案＆KKday高鐵假期,https://www.kkday.com/zh-tw/product/126869,1,20220311,0,"[{'id': 'A01-001-00016', 'name': '墾丁'}, {'id': 'A01-001-00001', 'name': '台北'}]",KKday
【買一送一】台灣嘉義｜阿里山國家森林遊樂區門票｜平假日均可使用（本國籍限定）,https://www.kkday.com/zh-tw/product/100459,200,20220307,4.92,"[{'id': 'A01-001-00014', 'name': '嘉義'}]",KKday
優惠94折｜屏東海生館門票,https://www.kkday.com/zh-tw/product/9468,250,20220306,4.8,"[{'id': 'A01-001-00016', 'name': '墾丁'}, {'id': 'A01-001-00015', 'name': '屏東'}]",KKday
【限時84折優惠】花蓮遠雄海洋公園電子門票,https://www.kkday.com/zh-tw/product/107922,780,20220306,4.82,"[{'id': 'A01-001-00005', 'name': '花蓮'}]",KKday
【即買即用】台北士林｜兒童新樂園一日樂Fun券（無限暢玩13項指定設施）,https://www.kkday.com/zh-tw/product/34133,188,20220306,4.81,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
【買一送一】台灣宜蘭｜太平山國家森林遊樂區門票 ｜平假日均可使用,https://www.kkday.com/zh-tw/product/100467,150,20220307,4.92,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
【即買即用】台北｜瘋癲．夢境．神曲─天才達利特展門票,https://www.kkday.com/zh-tw/product/118414,350,20220306,4.68,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
【2022澎湖花火節】早鳥 8 折｜澎湖｜2022 澎湖國際海上花火節花火船｜遊船海上・島上賞煙火秀,https://www.kkday.com/zh-tw/product/21721,280,20220428,4.56,"[{'id': 'A01-001-00019', 'name': '澎湖'}]",KKday
【95 折優惠】台南十鼓仁糖文創園區｜遊園票・星光票（即買即用）,https://www.kkday.com/zh-tw/product/21264,250,20220306,4.68,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
"KKday獨家限時優惠｜桃園楊梅埔心牧場｜雙人優惠套票組（水豚萌饅頭野餐組, 特製點心）",https://www.kkday.com/zh-tw/product/104417,599,20220306,4.65,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
【即買即用】台北展覽 | Pingu企鵝家族的誕生: 40 週年巡迴特展門票,https://www.kkday.com/zh-tw/product/123992,350,20220306,4.83,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
【228連假優惠】即買即用｜桃園｜小人國主題樂園門票 戶外必玩景點,https://www.kkday.com/zh-tw/product/27980,500,20220307,4.72,"[{'id': 'A01-001-00001', 'name': '台北'}, {'id': 'A01-001-00008', 'name': '桃園'}]",KKday
【復刻・傳藝九折優惠】台灣宜蘭｜國立傳統藝術中心｜門票、遊程體驗,https://www.kkday.com/zh-tw/product/24308,135,20220306,4.84,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
台灣嘉義｜太平雲梯門票,https://www.kkday.com/zh-tw/product/102359,95,20220306,4.83,"[{'id': 'A01-001-00014', 'name': '嘉義'}]",KKday
【限時 69 折起】新竹六福村主題樂園門票 Leofoo Village｜夢幻版波波草花園派對,https://www.kkday.com/zh-tw/product/6370,599,20220306,4.64,"[{'id': 'A01-001-00009', 'name': '新竹'}]",KKday
【84折優惠】台北展覽｜小小兵：神偷奶爸大視界特展門票,https://www.kkday.com/zh-tw/product/124241,159,20220306,4.87,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
劍湖山世界主題樂園門票,https://www.kkday.com/zh-tw/product/26632,450,20220306,4.72,"[{'id': 'A01-001-00013', 'name': '雲林'}]",KKday
【限時6折優惠】新竹小叮噹科學主題樂園｜入場門票＆餐飲抵用券,https://www.kkday.com/zh-tw/product/101848,299,20220306,4.72,"[{'id': 'A01-001-00009', 'name': '新竹'}]",KKday
【獨家91折優惠】台中｜HiONE啵比星球＆勇闖侏儸紀門票｜亞洲最大寵物友善空間＆親子樂園,https://www.kkday.com/zh-tw/product/126024,450,20220306,4.41,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
